date,hour,ping_count,latency_min_ms,latency_q1_ms,latency_median_ms,latency_q3_ms,latency_max_ms,wifi_resets,ssid,ssid_minutes
2026-03-03,12:00,9,116,119,120,125,133,0,unknown,1
2026-03-03,13:00,168,22,206,223,269,2707,11,SIL-OFF_STLINK-CN,13
2026-03-03,13:00,168,22,206,223,269,2707,11,SIL-Office_DirDen2,40
2026-03-03,13:00,168,22,206,223,269,2707,11,unknown,7
2026-03-05,09:00,686,21,56,130,208,1758,0,SIL-OFF_STLINK-CN,60
2026-03-05,10:00,620,22,129,206,246,2610,4,SIL-OFF_STLINK-CN,59
2026-03-05,10:00,620,22,129,206,246,2610,4,unknown,1
2026-03-05,11:00,644,17,74,160,222,2074,2,SIL-OFF_STLINK-CN,45
2026-03-05,11:00,644,17,74,160,222,2074,2,unknown,15
2026-03-05,12:00,323,21,75,153,223,2232,2,unknown,1
2026-03-05,12:00,323,21,75,153,223,2232,2,SIL-OFF_STLINK-CN,36
2026-03-05,13:00,2,30,30,30,39,39,0,unknown,0
2026-03-07,15:00,187,49,66,81,102,210,2,Mr Z,8
2026-03-07,15:00,187,49,66,81,102,210,2,unknown,52
2026-03-07,16:00,101,46,63,76,98,665,6,unknown,51
2026-03-07,16:00,101,46,63,76,98,665,6,Mr Z,9
2026-03-07,17:00,667,34,70,94,157,2911,2,Mr Z,60
2026-03-07,18:00,311,43,97,161,172,2817,2,Mr Z,29
2026-03-09,12:00,2,197,197,197,207,207,0,unknown,0
2026-03-10,20:00,403,47,64,78,98,667,0,Mr Z,60
2026-03-10,21:00,106,40,65,87,238,329,22,Mr Z,60
2026-03-10,22:00,55,40,65,143,261,330,40,Mr Z,60
2026-03-11,06:00,0,,,,,,4,Mr Z,8
